path,category,pattern,size,archived_to,timestamp
bitten-ui/node_modules/next/dist/esm/client/legacy,directory,LEGACY,93850,archive_v1/bitten-ui/node_modules/next/dist/esm/client/legacy,2025-10-08T22:12:14.421930
bitten-ui/node_modules/next/dist/client/legacy,directory,LEGACY,97145,archive_v1/bitten-ui/node_modules/next/dist/client/legacy,2025-10-08T22:12:14.422126
LOCKED_ARCHIVE_20250914_FINAL/previous_archives/ARCHIVE_AUG28_CLEANUP/backup_files/archive_broken_trackers,directory,ARCHIVE,6688,archive_v1/LOCKED_ARCHIVE_20250914_FINAL/previous_archives/ARCHIVE_AUG28_CLEANUP/backup_files/archive_broken_trackers,2025-10-08T22:12:14.422349
LOCKED_ARCHIVE_20250914_FINAL/previous_archives/ARCHIVE_AUG28_CLEANUP/backup_files/BACKUP_BEFORE_REFACTOR,directory,BACKUP,427631,archive_v1/LOCKED_ARCHIVE_20250914_FINAL/previous_archives/ARCHIVE_AUG28_CLEANUP/backup_files/BACKUP_BEFORE_REFACTOR,2025-10-08T22:12:14.422446
bitten-ui/node_modules/next/legacy,directory,LEGACY,169,archive_v1/bitten-ui/node_modules/next/legacy,2025-10-08T22:12:14.422534
LOCKED_ARCHIVE_20250914_FINAL/previous_archives/ARCHIVE_AUG28_CLEANUP/venom_old_system,directory,_old,159987,archive_v1/LOCKED_ARCHIVE_20250914_FINAL/previous_archives/ARCHIVE_AUG28_CLEANUP/venom_old_system,2025-10-08T22:12:14.422615
LOCKED_ARCHIVE_20250914_FINAL/previous_archives/ARCHIVE_AUG28_CLEANUP/backup_files,directory,BACKUP,6235912,archive_v1/LOCKED_ARCHIVE_20250914_FINAL/previous_archives/ARCHIVE_AUG28_CLEANUP/backup_files,2025-10-08T22:12:14.422721
LOCKED_ARCHIVE_20250914_FINAL/previous_archives/ARCHIVE_AUG28_CLEANUP/old_reports,directory,OLD,97093,archive_v1/LOCKED_ARCHIVE_20250914_FINAL/previous_archives/ARCHIVE_AUG28_CLEANUP/old_reports,2025-10-08T22:12:14.422825
LOCKED_ARCHIVE_20250914_FINAL/previous_archives/ARCHIVE_AUG28_CLEANUP,directory,ARCHIVE,6659663,archive_v1/LOCKED_ARCHIVE_20250914_FINAL/previous_archives/ARCHIVE_AUG28_CLEANUP,2025-10-08T22:12:14.422926
LOCKED_ARCHIVE_20250914_FINAL/previous_archives/archive_tracking_20250825,directory,ARCHIVE,474355,archive_v1/LOCKED_ARCHIVE_20250914_FINAL/previous_archives/archive_tracking_20250825,2025-10-08T22:12:14.423003
LOCKED_ARCHIVE_20250914_FINAL/previous_archives/PURGE_BACKUP_20250908_160615,directory,_backup,0,archive_v1/LOCKED_ARCHIVE_20250914_FINAL/previous_archives/PURGE_BACKUP_20250908_160615,2025-10-08T22:12:14.423078
LOCKED_ARCHIVE_20250914_FINAL/previous_archives/ARCHIVE_2025_08_13,directory,ARCHIVE,3767803,archive_v1/LOCKED_ARCHIVE_20250914_FINAL/previous_archives/ARCHIVE_2025_08_13,2025-10-08T22:12:14.423149
LOCKED_ARCHIVE_20250914_FINAL/previous_archives/ARCHIVE_REDUNDANT,directory,ARCHIVE,411492,archive_v1/LOCKED_ARCHIVE_20250914_FINAL/previous_archives/ARCHIVE_REDUNDANT,2025-10-08T22:12:14.423221
LOCKED_ARCHIVE_20250914_FINAL/previous_archives/BACKUP_20250911_BEFORE_OPTIMIZATIONS,directory,BACKUP,295630,archive_v1/LOCKED_ARCHIVE_20250914_FINAL/previous_archives/BACKUP_20250911_BEFORE_OPTIMIZATIONS,2025-10-08T22:12:14.423298
LOCKED_ARCHIVE_20250914_FINAL/previous_archives/ARCHIVED_MISSIONS,directory,ARCHIVE,599583,archive_v1/LOCKED_ARCHIVE_20250914_FINAL/previous_archives/ARCHIVED_MISSIONS,2025-10-08T22:12:14.423372
DELETED_FILES,directory,DELETED,11693,archive_v1/DELETED_FILES,2025-10-08T22:12:14.423457
EA_ARCHIVE_OBSOLETE,directory,_archive,0,archive_v1/EA_ARCHIVE_OBSOLETE,2025-10-08T22:12:14.423532
test_archives,directory,_archive,53631,archive_v1/test_archives,2025-10-08T22:12:14.423609
EA_ARCHIVE_DEPRECATED_20250919,directory,_archive,0,archive_v1/EA_ARCHIVE_DEPRECATED_20250919,2025-10-08T22:12:14.423683
DEPRECATED_TRACKING_SYSTEMS,directory,DEPRECATED,4736050,archive_v1/DEPRECATED_TRACKING_SYSTEMS,2025-10-08T22:12:14.423757
config_v1_backup_20251008,directory,_v[0-9]+,171678,archive_v1/config_v1_backup_20251008,2025-10-08T22:12:14.423836
event_bus_archives,directory,_archive,2030,archive_v1/event_bus_archives,2025-10-08T22:12:14.423917
EA_ARCHIVE,directory,_archive,0,archive_v1/EA_ARCHIVE,2025-10-08T22:12:14.423992
LOCKED_ARCHIVE_20250914_FINAL,directory,_archive,13427773,archive_v1/LOCKED_ARCHIVE_20250914_FINAL,2025-10-08T22:12:14.424080
tracking_backup_20251008,directory,_backup,371672,archive_v1/tracking_backup_20251008,2025-10-08T22:12:14.424154
archive,directory,ARCHIVE,1329358563,archive_v1/archive,2025-10-08T22:12:14.424224
backups,directory,BACKUP,1049910897,archive_v1/backups,2025-10-08T22:12:14.424295
BROKEN_TRACKERS_ARCHIVE_20251003,directory,_archive,345610,archive_v1/BROKEN_TRACKERS_ARCHIVE_20251003,2025-10-08T22:12:14.424368
data/apex_v5,directory,_v[0-9]+,760,archive_v1/data/apex_v5,2025-10-08T22:12:14.424513
logs/apex_v5,directory,_v[0-9]+,568,archive_v1/logs/apex_v5,2025-10-08T22:12:14.424652
temp/apex_v5,directory,_v[0-9]+,0,archive_v1/temp/apex_v5,2025-10-08T22:12:14.424791
EA_v2.07H_LAW_DOCUMENTATION.md,file,_v[0-9]+,35244,archive_v1/EA_v2.07H_LAW_DOCUMENTATION.md,2025-10-08T22:12:14.424958
elite_guard_with_citadel.py.backup_before_blind_spot,file,BACKUP,256457,archive_v1/elite_guard_with_citadel.py.backup_before_blind_spot,2025-10-08T22:12:14.425031
REAL_signal_tracker.py.backup_20250910_212737,file,BACKUP,17011,archive_v1/REAL_signal_tracker.py.backup_20250910_212737,2025-10-08T22:12:14.425113
SCHEMA_V1_FROZEN.md,file,_v[0-9]+,1834,archive_v1/SCHEMA_V1_FROZEN.md,2025-10-08T22:12:14.425183
coordinate_v207_processes.py,file,_v[0-9]+,11066,archive_v1/coordinate_v207_processes.py,2025-10-08T22:12:14.425249
APEX_FX_v5.0_REBUILD_BLUEPRINT.md,file,_v[0-9]+,13492,archive_v1/APEX_FX_v5.0_REBUILD_BLUEPRINT.md,2025-10-08T22:12:14.425313
AAA_V3_PRODUCTION_CONFIG.md,file,_v[0-9]+,2512,archive_v1/AAA_V3_PRODUCTION_CONFIG.md,2025-10-08T22:12:14.425378
ea_v207_diagnostic.md,file,_v[0-9]+,4442,archive_v1/ea_v207_diagnostic.md,2025-10-08T22:12:14.425438
candle_cache.json.corrupted_backup,file,_backup,2383155,archive_v1/candle_cache.json.corrupted_backup,2025-10-08T22:12:14.425745
BASELINE_METRICS_v1.md,file,_v[0-9]+,14503,archive_v1/BASELINE_METRICS_v1.md,2025-10-08T22:12:14.425859
APEX_FX_v5.0_FINAL_BLUEPRINT.md,file,_v[0-9]+,27800,archive_v1/APEX_FX_v5.0_FINAL_BLUEPRINT.md,2025-10-08T22:12:14.426066
EA_v5_1_PRODUCTION_DOCUMENTATION.md,file,_v[0-9]+,7912,archive_v1/EA_v5_1_PRODUCTION_DOCUMENTATION.md,2025-10-08T22:12:14.426171
AAA_V3_TARGETED_SUMMARY.md,file,_v[0-9]+,2522,archive_v1/AAA_V3_TARGETED_SUMMARY.md,2025-10-08T22:12:14.426256
requirements_v2.txt,file,_v[0-9]+,778,archive_v1/requirements_v2.txt,2025-10-08T22:12:14.426322
VERSION_6.4_LOCKED.md,file,LOCKED,1772,archive_v1/VERSION_6.4_LOCKED.md,2025-10-08T22:12:14.426391
AAA_V2_PAIR_STRATEGY.md,file,_v[0-9]+,2632,archive_v1/AAA_V2_PAIR_STRATEGY.md,2025-10-08T22:12:14.426455
AAA_V2_SUMMARY.md,file,_v[0-9]+,2475,archive_v1/AAA_V2_SUMMARY.md,2025-10-08T22:12:14.426524
ENGINE_ENGINEER_V2_DEPLOYMENT_REPORT.md,file,_v[0-9]+,9350,archive_v1/ENGINE_ENGINEER_V2_DEPLOYMENT_REPORT.md,2025-10-08T22:12:14.426592
confirm_listener_v207.py,file,_v[0-9]+,18480,archive_v1/confirm_listener_v207.py,2025-10-08T22:12:14.426659
notebook_v2.db,file,_v[0-9]+,32768,archive_v1/notebook_v2.db,2025-10-08T22:12:14.426723
elite_guard_with_citadel.py.broken_backup,file,_backup,282939,archive_v1/elite_guard_with_citadel.py.broken_backup,2025-10-08T22:12:14.426794
pattern_optimizer_v2.py,file,_v[0-9]+,16672,archive_v1/pattern_optimizer_v2.py,2025-10-08T22:12:14.426857
ZMQ_V3002_READY.md,file,_v[0-9]+,3473,archive_v1/ZMQ_V3002_READY.md,2025-10-08T22:12:14.426919
truth_log.jsonl.BROKEN_20250829_044217,file,BROKEN,1013379,archive_v1/truth_log.jsonl.BROKEN_20250829_044217,2025-10-08T22:12:14.426982
webapp_restart_75_threshold.log,file,OLD,26611,archive_v1/webapp_restart_75_threshold.log,2025-10-08T22:12:14.427041
requirements_backup_20251007_035009.txt,file,_backup,5283,archive_v1/requirements_backup_20251007_035009.txt,2025-10-08T22:12:14.427102
LOCKED_ARCHIVE_20250914_FINAL.tar.gz,file,_archive,2723292,archive_v1/LOCKED_ARCHIVE_20250914_FINAL.tar.gz,2025-10-08T22:12:14.427174
APEX_V5_BITTEN_INTEGRATION_STATUS.md,file,_v[0-9]+,6941,archive_v1/APEX_V5_BITTEN_INTEGRATION_STATUS.md,2025-10-08T22:12:14.427239
AAA_V3_CALIBRATED_CONFIG.md,file,_v[0-9]+,2361,archive_v1/AAA_V3_CALIBRATED_CONFIG.md,2025-10-08T22:12:14.427301
EA_V3003_DEALER_ISSUE.md,file,_v[0-9]+,3286,archive_v1/EA_V3003_DEALER_ISSUE.md,2025-10-08T22:12:14.427365
pattern_performance.json.BROKEN,file,BROKEN,2329,archive_v1/pattern_performance.json.BROKEN,2025-10-08T22:12:14.427427
pattern_optimizer_v2.log,file,_v[0-9]+,1443,archive_v1/pattern_optimizer_v2.log,2025-10-08T22:12:14.427489
elite_guard_with_citadel.py.backup_20250920_204208,file,BACKUP,256457,archive_v1/elite_guard_with_citadel.py.backup_20250920_204208,2025-10-08T22:12:14.427553
AAA_V3_MATHEMATICAL_SUMMARY.md,file,_v[0-9]+,3495,archive_v1/AAA_V3_MATHEMATICAL_SUMMARY.md,2025-10-08T22:12:14.427617
war_room_ultimate_v2.py,file,_v[0-9]+,33106,archive_v1/war_room_ultimate_v2.py,2025-10-08T22:12:14.427681
elite_guard_with_citadel.py.backup_20250910_121715,file,BACKUP,253299,archive_v1/elite_guard_with_citadel.py.backup_20250910_121715,2025-10-08T22:12:14.427748
CLAUDE_ARCHIVE_2025_07_11.md,file,_archive,154428,archive_v1/CLAUDE_ARCHIVE_2025_07_11.md,2025-10-08T22:12:14.427812
normans_notebook_v2.py,file,_v[0-9]+,32003,archive_v1/normans_notebook_v2.py,2025-10-08T22:12:14.427872
ARCHIVED_SYSTEMS_WARNING.md,file,ARCHIVE,1766,archive_v1/ARCHIVED_SYSTEMS_WARNING.md,2025-10-08T22:12:14.427936
ea_v207_signal_engine.py,file,_v[0-9]+,24157,archive_v1/ea_v207_signal_engine.py,2025-10-08T22:12:14.428009
EA_V3004_STATUS.md,file,_v[0-9]+,2755,archive_v1/EA_V3004_STATUS.md,2025-10-08T22:12:14.428070
EA_V3003_STATUS.md,file,_v[0-9]+,2685,archive_v1/EA_V3003_STATUS.md,2025-10-08T22:12:14.428139
manual_smoke_report.json,file,_smoke_,605,archive_v1/manual_smoke_report.json,2025-10-08T22:12:14.428205
archive_obsolete_trackers.sh,file,ARCHIVE,1909,archive_v1/archive_obsolete_trackers.sh,2025-10-08T22:12:14.428280
EA_V3_005_SERVER_INTEGRATION_BLUEPRINT.md,file,_v[0-9]+,4756,archive_v1/EA_V3_005_SERVER_INTEGRATION_BLUEPRINT.md,2025-10-08T22:12:14.428346
ARCHITECTURE_STABLE_v2.md,file,_v[0-9]+,22108,archive_v1/ARCHITECTURE_STABLE_v2.md,2025-10-08T22:12:14.428447
EA_v2.07H_README.md,file,_v[0-9]+,18023,archive_v1/EA_v2.07H_README.md,2025-10-08T22:12:14.428527
EA_v2.082_BLUEPRINT.md,file,_v[0-9]+,6818,archive_v1/EA_v2.082_BLUEPRINT.md,2025-10-08T22:12:14.428588
AAA_V3_MATHEMATICAL_TEST_SUMMARY.md,file,_v[0-9]+,8186,archive_v1/AAA_V3_MATHEMATICAL_TEST_SUMMARY.md,2025-10-08T22:12:14.428655
webapp_v207_positions.py,file,_v[0-9]+,12490,archive_v1/webapp_v207_positions.py,2025-10-08T22:12:14.428719
EA_v2.082_SCHEMAS.json,file,_v[0-9]+,8274,archive_v1/EA_v2.082_SCHEMAS.json,2025-10-08T22:12:14.428786
